filename_cnf,clause_count,var_count,tseitin_var_count
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_162.cnf,41764,14245,13817
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_008.cnf,27626,6856,6159
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_102.cnf,22451,7238,3118
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_182.cnf,50402,17131,16223
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_164.cnf,1234477,296258,277563
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_084.cnf,2152,586,243
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_114.cnf,58273,21224,18242
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_032.cnf,499409,192958,63516
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_060.cnf,26242,9531,8642
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_086.cnf,8820,3435,2402
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_172.cnf,81492,27719,26730
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_188.cnf,14613,5248,4825
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_070.cnf,70464,17299,15727
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_184.cnf,178409,43708,39604
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_088.cnf,8311,3045,1528
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_150.cnf,19157,6557,5734
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_178.cnf,560562,136516,125608
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_066.cnf,6360,2297,2106
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_068.cnf,43118,14948,14266
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_056.cnf,5667,2065,1060
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_094.cnf,39374,9797,8794
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_072.cnf,49510,14685,10179
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_142.cnf,19284,6646,5776
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_146.cnf,86333,28701,28343
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_121.cnf,14492,5201,4786
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_007.cnf,14565,3727,3234
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_009.cnf,36291,8978,8124
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_103.cnf,85700,20977,19095
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_185.cnf,22421,7657,7312
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_053.cnf,39066,11024,2757
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_037.cnf,6871,2811,1974
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_117.cnf,78082,20192,12696
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_193.cnf,178699,61933,50413
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_155.cnf,207647,50267,46478
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_033.cnf,42348,10481,9438
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_157.cnf,20034,6816,6554
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_189.cnf,286839,65259,32411
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_191.cnf,540145,130982,111911
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_151.cnf,18764,6250,5603
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_049.cnf,14839,3754,3317
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_073.cnf,24593,6139,5461
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_153.cnf,60764,14853,13546
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_161.cnf,22453,7238,3118
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_165.cnf,126997,50461,21516
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_119.cnf,124485,37821,22486
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_141.cnf,14519,5185,4794
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_031.cnf,6674,2649,1905
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_085.cnf,2638,892,243
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_079.cnf,6893,2815,1060
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_027.cnf,5269,1916,1134
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_133.cnf,149118,44805,27489
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_105.cnf,38505,11557,6808
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_075.cnf,7998,2877,2131
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_139.cnf,175549,42923,39169
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_099.cnf,94947,23246,21294
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_113.cnf,23004,7759,7339
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_043.cnf,3862,1985,1280
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_074.cnf,2152,586,243
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_108.cnf,57268,20896,17932
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_142.cnf,18715,6218,5587
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_050.cnf,39487,11118,2793
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_150.cnf,20318,6909,6647
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_082.cnf,5216,1843,968
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_168.cnf,17634,8169,2819
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_182.cnf,788339,191522,165545
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_010.cnf,17634,8169,2819
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_034.cnf,47460,11825,10621
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_188.cnf,43118,14980,14266
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_036.cnf,7437,2708,2014
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_158.cnf,20328,6912,6650
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_008.cnf,36291,8978,8124
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_118.cnf,124485,37821,22486
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_064.cnf,49510,14685,10179
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_122.cnf,101658,24946,22743
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_068.cnf,5216,1843,968
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_128.cnf,149118,44805,27489
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_032.cnf,7345,2646,1985
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_026.cnf,126997,50461,21516
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_098.cnf,135961,33446,30521
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_156.cnf,5216,1843,968
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_172.cnf,104369,25538,23374
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_136.cnf,19508,6752,5850
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_000.cnf,17634,8169,2819
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_196.cnf,17546,5999,5737
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_072.cnf,5667,2065,1060
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_104.cnf,23004,7759,7339
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_056.cnf,5667,2065,1060
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_143.cnf,19839,6973,5959
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_157.cnf,20266,6892,6630
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_191.cnf,458341,110973,102853
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_099.cnf,65874,16162,14651
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_059.cnf,7345,2918,2057
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_079.cnf,8311,3045,1528
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_165.cnf,59455,19533,17473
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_081.cnf,55671,13808,12301
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_159.cnf,338758,81984,75260
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_189.cnf,10619,2569,644
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_009.cnf,26244,9532,8643
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_033.cnf,27021,6772,6012
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_065.cnf,24593,6139,5461
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_025.cnf,6674,2649,1905
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_115.cnf,78082,20192,12696
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_155.cnf,158329,38321,35377
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_069.cnf,8184,3002,2191
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_075.cnf,2152,586,243
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_023.cnf,7687,3012,2089
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_035.cnf,6675,2374,1447
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_149.cnf,314763,76947,69532
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_111.cnf,59250,21542,18540
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_199.cnf,126997,50461,21516
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_111.cnf,24836,10995,3449
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_001.cnf,500,200,100
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_103.cnf,2638,892,243
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_149.cnf,44425,17849,8694
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_087.cnf,7345,2646,1985
